"title","mail","summary"
"Påminnelse om opplæringsøkt","Dette er bare en rask påminnelse om at vår opplæringsøkt er planlagt til i morgen kl. 10. Vennligst sørg for å komme tidsnok og ta med deg eventuelt nødvendig materiale.","Påminnelse om opplæringsøkt i morgen kl. 10."
"Kunngjøring av nytt partnerskap","Vi er glade for å kunngjøre vårt nye partnerskap med Coop. Sammen vil vi kunne tilby enda mer omfattende løsninger til våre kunder. Følg med for flere oppdateringer!","Kunngjøring: nytt partnerskap med Coop."
"Forespørsel om vurdering av ytelse","Kjære Simen, det er på tide for din årlige vurdering av ytelse. Vennligst la meg få vite hvilke tidspunkter som passer for deg de neste dagene, slik at vi kan planlegge et møte.","Forespørsel om møte for vurdering av ytelse."
"Følge opp lansering av produkt","Hei, jeg håper du har hatt tid til å sjekke ut vår nye produktlinje. Vi vil gjerne høre din tilbakemelding og svare på eventuelle spørsmål du måtte ha. Vennligst ikke nøl med å kontakte oss når som helst.","Følge opp lansering av ny produktlinje. Tilbakemelding og spørsmål er velkomne."
"Bekreftelse av aksept av jobbtilbud","Kjære Marte, gratulerer med jobbtilbudet! Vennligst bekreft aksepten din ved å svare på denne e-posten med startdatoen din og annen relevant informasjon vi måtte trenge.","Bekreftelse på aksept av jobbtilbud."
"Forespørsel om oppdatering på prosjektet","Hei Mons, jeg håper alt står bra til. Jeg ønsket å be om en oppdatering på statusen for din del av prosjektet. Kan du vennligst la meg få vite når du forventer å fullføre oppgavene dine?","Forespørsel om oppdatering på statusen for fullføring av prosjekt."
"Invitasjon til arrangement","Du er herved invitert til vårt årlige kundearrangement neste uke torsdag kl. 16. Vi vil gjerne dele vår siste utvikling med deg og svare på eventuelle spørsmål du måtte ha. Vennligst bekreft din deltakelse innen mandag.","Invitasjon til årlig kundearrangement neste uke torsdag kl. 16."
"Bekreftelse på levering","Hei, dette er en bekreftelse på at din bestilling har blitt levert til adressen du oppga. Vennligst gi oss beskjed hvis du har noen spørsmål eller bekymringer.","Bekreftelse på levering av bestilling."
"Følge opp på jobbsøknad","Hei, jeg vil gjerne følge opp på søknaden min til stillingen. Jeg er veldig interessert i å bli med i teamet og vil gjerne vite om det har vært noen utviklinger. Takk for din tid.","Følge opp på jobbsøknad."
"Ferieavvikling","Kjære alle sammen, jeg vil gjerne minne dere om å planlegge ferien deres for resten av året. Vennligst gi beskjed om når du planlegger å ta ferie, slik at vi kan koordinere arbeidet på best mulig måte.","Påminnelse om ferieplanlegging for resten av året."
"Påminnelse om møte","Hei Martin, jeg håper alt går bra med deg. Jeg vil bare minne deg på at vi har et møte neste uke torsdag kl. 10. Vennligst gi meg beskjed hvis du må endre tidspunktet.","Påminnelse om møte neste uke torsdag kl. 10."
